"filename", "language", "XML", "JSON", "C#", "comment", "blank", "total"
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\App.xaml", "XML", 41, 0, 0, 44, 19, 104
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\App.xaml.cs", "C#", 0, 0, 478, 64, 100, 642
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\AppShell.xaml", "XML", 50, 0, 0, 0, 6, 56
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\AppShell.xaml.cs", "C#", 0, 0, 33, 8, 8, 49
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Converters\BoolConverters.cs", "C#", 0, 0, 103, 25, 17, 145
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Converters\DiabetesTypeConverter.cs", "C#", 0, 0, 36, 4, 3, 43
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Converters\GlucoseUiStateConverters.cs", "C#", 0, 0, 39, 2, 6, 47
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Converters\PendingSyncToBoolConverter.cs", "C#", 0, 0, 16, 3, 4, 23
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Converters\ScalePresetToBoolConverter.cs", "C#", 0, 0, 25, 4, 6, 35
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Converters\ScheduleConverters.cs", "C#", 0, 0, 94, 26, 13, 133
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Converters\StatusToColorConverter.cs", "C#", 0, 0, 42, 62, 14, 118
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Database\AppDbContext.cs", "C#", 0, 0, 499, 167, 187, 853
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Database\AppDbContextDesignTimeFactory.cs", "C#", 0, 0, 15, 20, 5, 40
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Database\DbInitializer.cs", "C#", 0, 0, 56, 17, 9, 82
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Extensions\ServiceCollectionExtensions.cs", "C#", 0, 0, 119, 33, 23, 175
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\GlobalXmlns.cs", "C#", 0, 0, 2, 0, 1, 3
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Infrastructure\Handlers\JwtAuthorizationHandler.cs", "C#", 0, 0, 26, 4, 7, 37
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\MauiProgram.cs", "C#", 0, 0, 50, 6, 13, 69
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Migrations\20251204120000_AddEncryptedPHIFields.cs", "C#", 0, 0, 83, 11, 18, 112
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Migrations\20251204130000_AddSyncConflictHistoryFields.cs", "C#", 0, 0, 37, 9, 8, 54
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Migrations\20251204140000_AddEncryptedNotesField.cs", "C#", 0, 0, 20, 10, 5, 35
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Migrations\20260603000000_AddEncryptionVersion.cs", "C#", 0, 0, 156, 34, 28, 218
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Models\Api\ApiRequests.cs", "C#", 0, 0, 147, 260, 70, 477
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Models\Api\ApiResponses.cs", "C#", 0, 0, 130, 292, 87, 509
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Models\Api\MissedMeasurementNotificationRequest.cs", "C#", 0, 0, 9, 19, 5, 33
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Models\Core\ChartDataPoint.cs", "C#", 0, 0, 3, 3, 3, 9
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Models\Core\Child.cs", "C#", 0, 0, 43, 71, 24, 138
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Models\Core\DiabetesSettings.cs", "C#", 0, 0, 14, 36, 11, 61
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Models\Core\Measurement.cs", "C#", 0, 0, 32, 40, 14, 86
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Models\Core\MeasurementSchedule.cs", "C#", 0, 0, 21, 31, 10, 62
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Models\Core\User.cs", "C#", 0, 0, 20, 49, 16, 85
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Models\Enums\ChildState.cs", "C#", 0, 0, 14, 32, 11, 57
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Models\Enums\DataSource.cs", "C#", 0, 0, 8, 13, 5, 26
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Models\Enums\DiabetesType.cs", "C#", 0, 0, 8, 15, 5, 28
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Models\Enums\GlucoseStatus.cs", "C#", 0, 0, 9, 22, 6, 37
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Models\Enums\ScalePreset.cs", "C#", 0, 0, 7, 12, 4, 23
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\Android\AndroidManifest.xml", "XML", 12, 0, 0, 4, 0, 16
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\Android\MainActivity.cs", "C#", 0, 0, 10, 0, 2, 12
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\Android\MainApplication.cs", "C#", 0, 0, 14, 0, 3, 17
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\Android\Resources\values\colors.xml", "XML", 6, 0, 0, 0, 0, 6
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\MacCatalyst\AppDelegate.cs", "C#", 0, 0, 9, 0, 2, 11
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\MacCatalyst\Program.cs", "C#", 0, 0, 12, 3, 2, 17
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\Tizen\Main.cs", "C#", 0, 0, 15, 0, 3, 18
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\Tizen\tizen-manifest.xml", "XML", 15, 0, 0, 0, 0, 15
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\Windows\App.xaml", "XML", 7, 0, 0, 0, 2, 9
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\Windows\App.xaml.cs", "C#", 0, 0, 12, 9, 5, 26
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\iOS\AppDelegate.cs", "C#", 0, 0, 9, 0, 2, 11
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Platforms\iOS\Program.cs", "C#", 0, 0, 12, 3, 2, 17
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Properties\launchSettings.json", "JSON", 0, 8, 0, 0, 0, 8
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Implementations\BackpackRepository.cs", "C#", 0, 0, 369, 48, 53, 470
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Implementations\BaseRepository.cs", "C#", 0, 0, 163, 34, 14, 211
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Implementations\ChildRepository.cs", "C#", 0, 0, 234, 39, 34, 307
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Implementations\DiabetesSettingsRepository.cs", "C#", 0, 0, 221, 36, 22, 279
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Implementations\MeasurementRepository.cs", "C#", 0, 0, 523, 108, 75, 706
